timestamp,cpu_power_w,gpu_power_w
2025-09-11T16:46:26.000279,34 mW,7 mW
2025-09-11T16:46:32.506850,42 mW,2 mW
2025-09-11T16:46:38.974874,101 mW,0 mW
2025-09-11T16:46:45.497904,380 mW,10 mW
2025-09-11T16:46:52.001937,35 mW,1 mW
2025-09-11T16:46:58.503649,387 mW,11 mW
2025-09-11T16:47:05.008699,33 mW,5 mW
2025-09-11T16:47:11.519539,342 mW,20 mW
2025-09-11T16:47:18.023220,36 mW,1 mW
2025-09-11T16:47:24.503558,39 mW,0 mW
2025-09-11T16:47:31.011807,808 mW,9 mW
2025-09-11T16:47:37.503662,422 mW,0 mW
2025-09-11T16:47:44.012576,363 mW,10 mW
2025-09-11T16:47:50.519339,36 mW,2 mW
2025-09-11T16:47:57.033164,380 mW,9 mW
2025-09-11T16:48:03.530359,81 mW,2 mW
2025-09-11T16:48:10.038779,51 mW,0 mW
2025-09-11T16:48:16.547503,218 mW,2 mW
2025-09-11T16:48:23.090805,77 mW,6 mW
2025-09-11T16:48:29.605329,253 mW,11 mW
2025-09-11T16:48:36.109044,73 mW,1 mW
2025-09-11T16:48:42.625442,460 mW,12 mW
2025-09-11T16:48:49.135587,30 mW,2 mW
2025-09-11T16:48:55.672588,111 mW,1 mW
2025-09-11T16:49:02.176286,32 mW,28 mW
2025-09-11T16:49:08.732460,55 mW,0 mW
2025-09-11T16:49:15.237201,1140 mW,19 mW
2025-09-11T16:49:21.743760,25 mW,0 mW
2025-09-11T16:49:28.256960,246 mW,10 mW
2025-09-11T16:49:34.759555,522 mW,5 mW
2025-09-11T16:49:41.272151,143 mW,7 mW
2025-09-11T16:49:47.788700,106 mW,2 mW
2025-09-11T16:49:54.280482,168 mW,4 mW
2025-09-11T16:50:00.787081,293 mW,12 mW
2025-09-11T16:50:07.300809,56 mW,1 mW
2025-09-11T16:50:13.797590,807 mW,20 mW
2025-09-11T16:50:20.313802,46 mW,1 mW
2025-09-11T16:50:26.823813,263 mW,41 mW
2025-09-11T16:50:33.326039,29 mW,1 mW
2025-09-11T16:50:39.836871,131 mW,0 mW
2025-09-11T16:50:46.341784,920 mW,3 mW
2025-09-11T16:50:52.855287,24 mW,0 mW
2025-09-11T16:50:59.360055,242 mW,9 mW
2025-09-11T16:51:05.891247,58 mW,0 mW
2025-09-11T16:51:12.408785,280 mW,20 mW
2025-09-11T16:51:18.911494,114 mW,3 mW
2025-09-11T16:51:25.423528,29 mW,0 mW
2025-09-11T16:51:31.927233,46 mW,1 mW
2025-09-11T16:51:38.458951,93 mW,0 mW
2025-09-11T16:51:44.964159,341 mW,10 mW
2025-09-11T16:51:51.477417,134 mW,0 mW
2025-09-11T16:51:57.993023,303 mW,15 mW
2025-09-11T16:52:04.497329,28 mW,1 mW
2025-09-11T16:52:10.997067,142 mW,0 mW
2025-09-11T16:52:17.512922,159 mW,3 mW
2025-09-11T16:52:24.013073,136 mW,0 mW
2025-09-11T16:52:30.512206,339 mW,15 mW
2025-09-11T16:52:37.018374,172 mW,2 mW
2025-09-11T16:52:43.530061,490 mW,10 mW
2025-09-11T16:52:50.043314,222 mW,24 mW
2025-09-11T16:52:56.555319,194 mW,30 mW
2025-09-11T16:53:03.065106,79 mW,17 mW
2025-09-11T16:53:09.551445,83 mW,15 mW
2025-09-11T16:53:16.054638,2812 mW,37 mW
2025-09-11T16:53:22.563806,5754 mW,15 mW
2025-09-11T16:53:29.249109,3465 mW,4358 mW
2025-09-11T16:53:35.957353,267 mW,10643 mW
2025-09-11T16:53:42.494665,1872 mW,10394 mW
2025-09-11T16:53:49.029703,285 mW,10807 mW
2025-09-11T16:53:55.633978,785 mW,10732 mW
2025-09-11T16:54:02.177474,277 mW,10868 mW
2025-09-11T16:54:08.809759,322 mW,10794 mW
2025-09-11T16:54:15.348582,1210 mW,10739 mW
2025-09-11T16:54:21.882702,165 mW,4062 mW
2025-09-11T16:54:28.456234,556 mW,47 mW
2025-09-11T16:54:34.970763,208 mW,13 mW
